"Country","Response_measure","date_start","date_end"
"Czechia","ClosPrimPartial",2020-06-08,2020-08-31
"Czechia","ClosPrimPartial",2020-11-18,NA
"Czechia","ClosPubAny",2020-03-17,2020-04-23
"Czechia","ClosPubAny",2020-10-14,2020-10-21
"Czechia","ClosPubAnyPartial",2020-03-10,2020-03-16
"Czechia","ClosPubAnyPartial",2020-04-24,2020-10-13
"Czechia","ClosPubAnyPartial",2020-10-22,2020-11-20
"Czechia","ClosSec",2020-03-11,2020-06-07
"Czechia","ClosSec",2020-10-14,2020-11-20
"Czechia","ClosSecPartial",2020-06-08,2020-08-31
"Czechia","MasksMandatory",2020-03-19,2020-05-10
"Czechia","MasksMandatory",2020-07-25,NA
"Czechia","MasksMandatoryPartial",2020-05-11,2020-07-03
"Czechia","MasksVoluntary",2020-07-04,2020-07-24
"Czechia","MassGatherAll",2020-03-04,2020-10-18
"Czechia","MassGatherAll",2020-11-04,2020-11-20
"Czechia","StayHomeOrder",2020-03-16,2020-04-24
"Czechia","StayHomeOrder",2020-10-22,2020-11-20
"Czechia","TeleworkingClosures",2020-10-22,NA
"Denmark","ClosDaycare",2020-03-16,2020-04-15
"Denmark","ClosHigh",2020-03-16,2020-07-31
"Denmark","ClosPrim",2020-03-16,2020-04-15
"Denmark","ClosPubAny",2020-03-18,2020-04-20
"Denmark","ClosPubAnyPartial",2020-04-21,NA
"Denmark","ClosSec",2020-03-16,2020-05-18
"Denmark","MasksMandatory",2020-08-22,NA
"Denmark","MasksVoluntaryPartial",2020-07-09,2020-08-21
"Denmark","MassGatherAll",2020-03-18,2020-06-14
"Denmark","MassGatherAllPartial",2020-06-15,NA
"Denmark","StayHomeRiskG",2020-03-14,NA
"Denmark","TeleworkingClosures",2020-03-13,2020-06-14
"Denmark","TeleworkingClosuresPartial",2020-06-15,NA
"Estonia","ClosHigh",2020-03-16,2020-05-17
"Estonia","ClosPrim",2020-03-16,2020-05-17
"Estonia","ClosPubAny",2020-03-12,2020-05-16
"Estonia","ClosPubAnyPartial",2020-05-17,2020-07-01
"Estonia","ClosPubAnyPartial",2020-08-19,NA
"Estonia","ClosSec",2020-03-16,2020-05-17
"Estonia","MasksVoluntary",2020-03-12,2020-05-16
"Estonia","MasksVoluntaryPartial",2020-05-17,2020-07-31
"Estonia","MasksVoluntaryPartial",2020-10-12,NA
"Estonia","MassGatherAll",2020-05-18,2020-05-31
"Estonia","MassGatherAll",2020-07-15,NA
"Estonia","MassGatherAllPartial",2020-06-01,2020-07-14
"Estonia","StayHomeGen",2020-03-12,2020-05-17
"Estonia","TeleworkingClosuresPartial",2020-03-16,NA
"Finland","ClosHigh",2020-03-18,2020-08-04
"Finland","ClosPrim",2020-03-18,2020-05-14
"Finland","ClosPubAny",2020-03-18,2020-05-31
"Finland","ClosPubAnyPartial",2020-06-01,NA
"Finland","ClosSec",2020-03-18,2020-08-04
"Finland","MasksVoluntary",2020-09-18,NA
"Finland","MasksVoluntaryPartial",2020-08-13,2020-09-17
"Finland","MassGather50Partial",2020-07-01,2020-07-31
"Finland","MassGather50Partial",2020-10-15,NA
"Finland","MassGatherAll",2020-03-12,2020-06-30
"Finland","MassGatherAllPartial",2020-07-01,NA
"Finland","StayHomeRiskG",2020-03-16,2020-06-22
"Finland","StayHomeRiskGPartial",2020-06-23,NA
"Finland","TeleworkingClosures",2020-03-18,2020-08-01
"Finland","TeleworkingClosuresPartial",2020-08-13,NA
"France","ClosDaycare",2020-03-16,2020-06-01
"France","ClosDaycarePartial",2020-06-02,2020-06-22
"France","ClosHigh",2020-10-27,NA
"France","ClosHighPartial",2020-03-16,2020-06-22
"France","ClosPrimPartial",2020-03-16,2020-06-22
"France","ClosPubAny",2020-03-16,2020-05-10
"France","ClosPubAnyPartial",2020-05-11,2020-06-22
"France","ClosPubAnyPartial",2020-10-28,NA
"France","ClosSec",2020-03-16,2020-05-10
"France","ClosSecPartial",2020-05-11,2020-06-22
"France","MasksMandatory",2020-05-18,NA
"France","MasksVoluntary",2020-05-11,2020-05-17
"France","MassGather50Partial",2020-09-18,2020-10-18
"France","MassGatherAll",2020-02-29,2020-09-17
"France","MassGatherAll",2020-10-19,NA
"France","MassGatherAllPartial",2020-09-18,2020-10-18
"France","StayHomeOrder",2020-03-17,2020-05-11
"France","StayHomeOrder",2020-10-28,NA
"France","StayHomeOrderPartial",2020-05-12,2020-06-02
"France","TeleworkingClosures",2020-03-17,2020-05-10
"France","TeleworkingClosures",2020-10-29,NA
"France","TeleworkingClosuresPartial",2020-05-11,2020-10-28
"Germany","ClosDaycare",2020-03-13,2020-05-14
"Germany","ClosDaycarePartial",2020-05-15,2020-07-01
"Germany","ClosPrim",2020-03-13,2020-05-03
"Germany","ClosPrimPartial",2020-05-04,2020-06-29
"Germany","ClosPubAny",2020-03-16,2020-05-04
"Germany","ClosPubAnyPartial",2020-05-05,NA
"Germany","ClosSec",2020-03-13,2020-05-03
"Germany","ClosSecPartial",2020-05-04,2020-06-15
"Germany","MasksMandatory",2020-04-27,NA
"Germany","MasksVoluntary",2020-04-02,2020-04-26
"Germany","MassGather50Partial",2020-05-11,2020-06-29
"Germany","MassGather50Partial",2020-09-29,2020-11-01
"Germany","MassGatherAll",2020-03-08,2020-05-10
"Germany","MassGatherAll",2020-11-02,NA
"Germany","MassGatherAllPartial",2020-05-11,2020-11-01
"Germany","StayHomeGen",2020-03-17,2020-05-05
"Germany","StayHomeGenPartial",2020-05-06,2020-06-29
"Greece","ClosDaycare",2020-03-11,2020-06-01
"Greece","ClosDaycare",2020-11-16,NA
"Greece","ClosHigh",2020-11-03,NA
"Greece","ClosHighPartial",2020-03-16,2020-05-25
"Greece","ClosPrim",2020-03-11,2020-06-01
"Greece","ClosPrim",2020-11-16,NA
"Greece","ClosPubAny",2020-03-14,2020-05-03
"Greece","ClosPubAny",2020-11-07,NA
"Greece","ClosPubAnyPartial",2020-05-04,2020-11-06
"Greece","ClosSec",2020-03-11,2020-05-10
"Greece","ClosSec",2020-11-07,NA
"Greece","ClosSecPartial",2020-05-11,2020-05-18
"Greece","MasksMandatory",2020-04-28,NA
"Greece","MassGather50Partial",2020-07-13,2020-11-02
"Greece","MassGatherAll",2020-11-07,NA
"Greece","MassGatherAllPartial",2020-07-13,2020-11-02
"Greece","StayHomeGen",2020-02-27,2020-03-22
"Greece","StayHomeOrder",2020-03-23,2020-05-04
"Greece","StayHomeOrder",2020-11-07,NA
"Greece","StayHomeRiskG",2020-03-11,NA
"Greece","TeleworkingClosures",2020-03-19,NA
"Hungary","ClosDaycare",2020-03-25,2020-06-02
"Hungary","ClosHigh",2020-03-25,2020-05-18
"Hungary","ClosHigh",2020-11-11,NA
"Hungary","ClosPrim",2020-03-16,2020-06-01
"Hungary","ClosPrimPartial",2020-06-02,2020-06-26
"Hungary","ClosPubAny",2020-03-13,2020-05-18
"Hungary","ClosPubAnyPartial",2020-09-21,NA
"Hungary","ClosSec",2020-03-16,2020-06-01
"Hungary","ClosSec",2020-11-11,NA
"Hungary","ClosSecPartial",2020-06-02,2020-06-26
"Hungary","MasksMandatory",2020-11-02,2020-11-10
"Hungary","MasksMandatoryPartial",2020-05-04,2020-11-01
"Hungary","MasksMandatoryPartial",2020-11-11,NA
"Hungary","MassGatherAll",2020-03-11,2020-06-11
"Hungary","MassGatherAll",2020-11-11,NA
"Hungary","MassGatherAllPartial",2020-09-21,2020-11-10
"Hungary","StayHomeGen",2020-03-21,2020-03-26
"Hungary","StayHomeOrder",2020-03-27,2020-05-18
"Hungary","StayHomeOrderPartial",2020-11-04,NA
"Iceland","ClosHigh",2020-03-16,2020-05-04
"Iceland","ClosPubAny",2020-03-16,2020-05-03
"Iceland","ClosPubAnyPartial",2020-05-04,2020-06-15
"Iceland","ClosPubAnyPartial",2020-08-31,NA
"Iceland","ClosSec",2020-03-16,2020-05-04
"Iceland","MasksVoluntaryPartial",2020-07-31,NA
"Iceland","MassGatherAll",2020-03-16,2020-05-24
"Iceland","MassGatherAll",2020-10-04,NA
"Iceland","MassGatherAllPartial",2020-05-25,2020-10-03
"Iceland","StayHomeRiskG",2020-03-16,NA
"Ireland","ClosDaycare",2020-03-12,2020-06-29
"Ireland","ClosHigh",2020-03-12,NA
"Ireland","ClosPrim",2020-03-12,2020-08-24
"Ireland","ClosPubAny",2020-03-12,2020-03-26
"Ireland","ClosPubAny",2020-06-06,2020-06-29
"Ireland","ClosPubAnyPartial",2020-03-27,2020-06-05
"Ireland","ClosPubAnyPartial",2020-10-06,NA
"Ireland","ClosSec",2020-03-12,2020-08-31
"Ireland","MasksMandatory",2020-06-29,NA
"Ireland","MasksVoluntary",2020-05-18,2020-06-28
"Ireland","MassGather50Partial",2020-06-29,NA
"Ireland","MassGatherAll",2020-02-25,2020-06-28
"Ireland","MassGatherAllPartial",2020-06-29,NA
"Ireland","StayHomeGen",2020-03-24,2020-03-26
"Ireland","StayHomeGen",2020-05-18,2020-06-26
"Ireland","StayHomeGenPartial",2020-03-12,2020-03-23
"Ireland","StayHomeOrder",2020-03-27,2020-05-17
"Ireland","StayHomeOrder",2020-10-21,NA
"Ireland","StayHomeRiskG",2020-03-12,NA
"Ireland","TeleworkingClosures",2020-03-12,2020-06-07
"Ireland","TeleworkingClosuresPartial",2020-06-08,NA
"Italy","ClosDaycare",2020-03-10,2020-06-10
"Italy","ClosDaycarePartial",2020-03-04,2020-03-09
"Italy","ClosDaycarePartial",2020-06-11,2020-09-14
"Italy","ClosHigh",2020-03-10,2020-06-10
"Italy","ClosHighPartial",2020-03-04,2020-03-09
"Italy","ClosHighPartial",2020-06-11,2020-09-14
"Italy","ClosHighPartial",2020-11-05,NA
"Italy","ClosPrim",2020-03-11,2020-09-14
"Italy","ClosPrimPartial",2020-03-04,2020-03-10
"Italy","ClosPubAnyPartial",2020-03-10,NA
"Italy","ClosSec",2020-03-04,2020-06-16
"Italy","ClosSec",2020-07-05,2020-09-14
"Italy","ClosSec",2020-11-05,NA
"Italy","ClosSecPartial",2020-06-17,2020-07-04
"Italy","MasksMandatory",2020-04-26,2020-08-15
"Italy","MasksMandatory",2020-10-08,NA
"Italy","MasksMandatoryPartial",2020-08-16,2020-10-07
"Italy","MassGather50Partial",2020-03-04,2020-03-08
"Italy","MassGatherAll",2020-03-09,2020-06-11
"Italy","MassGatherAll",2020-11-06,NA
"Italy","MassGatherAllPartial",2020-03-04,2020-03-08
"Italy","MassGatherAllPartial",2020-06-12,2020-11-05
"Italy","StayHomeGen",2020-10-26,2020-11-04
"Italy","StayHomeOrder",2020-03-10,2020-05-04
"Italy","StayHomeOrderPartial",2020-11-05,NA
"Italy","StayHomeRiskG",2020-03-04,NA
"Italy","TeleworkingClosures",2020-03-12,2020-06-10
"Italy","TeleworkingClosures",2020-10-16,NA
"Latvia","ClosDaycarePartial",2020-03-17,2020-06-10
"Latvia","ClosHigh",2020-03-17,2020-08-31
"Latvia","ClosHigh",2020-10-26,NA
"Latvia","ClosPrim",2020-03-17,2020-08-31
"Latvia","ClosPubAny",2020-03-17,2020-05-11
"Latvia","ClosPubAnyPartial",2020-05-12,2020-06-10
"Latvia","ClosPubAnyPartial",2020-07-11,NA
"Latvia","ClosSec",2020-10-26,NA
"Latvia","ClosSecPartial",2020-03-17,2020-05-07
"Latvia","MasksMandatory",2020-10-07,NA
"Latvia","MasksMandatoryPartial",2020-03-17,2020-06-30
"Latvia","MassGather50Partial",2020-05-12,2020-06-10
"Latvia","MassGatherAll",2020-03-17,2020-05-11
"Latvia","MassGatherAll",2020-06-11,2020-06-30
"Latvia","MassGatherAll",2020-08-01,NA
"Latvia","MassGatherAllPartial",2020-05-12,2020-06-10
"Latvia","MassGatherAllPartial",2020-07-01,2020-07-31
"Latvia","StayHomeGen",2020-03-17,2020-05-11
"Latvia","StayHomeGenPartial",2020-05-12,2020-06-10
"Latvia","TeleworkingClosures",2020-03-17,NA
"Liechtenstein","ClosDaycare",2020-03-16,2020-05-11
"Liechtenstein","ClosHigh",2020-03-16,2020-06-08
"Liechtenstein","ClosPrim",2020-03-16,2020-06-08
"Liechtenstein","ClosPubAny",2020-10-24,NA
"Liechtenstein","ClosPubAnyPartial",2020-03-12,2020-06-06
"Liechtenstein","ClosSec",2020-03-16,2020-06-08
"Liechtenstein","MasksMandatory",2020-07-06,NA
"Liechtenstein","MasksVoluntary",2020-05-13,2020-07-05
"Liechtenstein","MassGatherAll",2020-02-28,2020-09-30
"Liechtenstein","StayHomeGen",2020-03-21,2020-05-18
"Liechtenstein","StayHomeRiskG",2020-03-16,NA
"Lithuania","ClosDaycare",2020-03-16,2020-04-26
"Lithuania","ClosDaycarePartial",2020-04-27,2020-05-27
"Lithuania","ClosHigh",2020-03-16,2020-05-24
"Lithuania","ClosHighPartial",2020-05-25,2020-06-30
"Lithuania","ClosHighPartial",2020-09-01,NA
"Lithuania","ClosPrim",2020-03-16,2020-05-24
"Lithuania","ClosPrimPartial",2020-05-25,2020-06-23
"Lithuania","ClosPubAnyPartial",2020-03-16,NA
"Lithuania","ClosSec",2020-03-16,2020-05-31
"Lithuania","ClosSecPartial",2020-06-01,2020-06-16
"Lithuania","ClosSecPartial",2020-09-01,NA
"Lithuania","MasksMandatory",2020-04-10,2020-04-29
"Lithuania","MasksMandatoryPartial",2020-04-30,2020-06-16
"Lithuania","MasksMandatoryPartial",2020-08-01,NA
"Lithuania","MasksVoluntary",2020-03-23,2020-04-09
"Lithuania","MasksVoluntary",2020-06-17,2020-07-31
"Lithuania","MassGather50Partial",2020-05-04,2020-06-16
"Lithuania","MassGather50Partial",2020-11-07,NA
"Lithuania","MassGatherAll",2020-03-12,2020-05-03
"Lithuania","MassGatherAll",2020-07-01,2020-08-15
"Lithuania","MassGatherAllPartial",2020-05-04,2020-06-30
"Lithuania","MassGatherAllPartial",2020-08-16,2020-08-31
"Lithuania","MassGatherAllPartial",2020-10-30,NA
"Lithuania","StayHomeGen",2020-03-16,2020-06-16
"Lithuania","StayHomeGenPartial",2020-11-07,NA
"Lithuania","TeleworkingClosures",2020-03-10,2020-06-15
"Lithuania","TeleworkingClosuresPartial",2020-06-16,NA
"Luxembourg","ClosDaycare",2020-03-16,2020-05-24
"Luxembourg","ClosHigh",2020-03-16,2020-05-24
"Luxembourg","ClosPrim",2020-03-16,2020-05-24
"Luxembourg","ClosPubAnyPartial",2020-03-16,NA
"Luxembourg","ClosSec",2020-03-16,2020-05-04
"Luxembourg","ClosSecPartial",2020-05-05,2020-05-26
"Luxembourg","MasksMandatory",2020-03-18,2020-04-19
"Luxembourg","MasksMandatoryPartial",2020-04-20,NA
"Luxembourg","MassGather50Partial",2020-05-11,2020-09-21
"Luxembourg","MassGatherAll",2020-03-09,2020-03-16
"Luxembourg","MassGatherAll",2020-09-22,NA
"Luxembourg","MassGatherAllPartial",2020-03-17,2020-09-21
"Luxembourg","StayHomeOrder",2020-03-18,2020-04-19
"Luxembourg","StayHomeOrderPartial",2020-04-20,2020-05-11
"Luxembourg","StayHomeOrderPartial",2020-10-30,NA
"Luxembourg","StayHomeRiskG",2020-03-12,NA
"Luxembourg","TeleworkingClosures",2020-03-13,NA
"Malta","ClosDaycare",2020-03-13,NA
"Malta","ClosHigh",2020-03-13,2020-06-30
"Malta","ClosPrim",2020-03-13,2020-06-30
"Malta","ClosPubAny",2020-03-18,2020-05-21
"Malta","ClosPubAnyPartial",2020-05-22,NA
"Malta","ClosSec",2020-03-13,2020-06-30
"Malta","MasksMandatory",2020-05-22,NA
"Malta","MassGatherAll",2020-03-13,NA
"Malta","StayHomeRiskG",2020-03-28,NA
"Malta","TeleworkingClosures",2020-05-08,NA
"Netherlands","ClosDaycare",2020-03-16,2020-05-10
"Netherlands","ClosDaycarePartial",2020-05-11,2020-06-08
"Netherlands","ClosHigh",2020-03-12,2020-06-14
"Netherlands","ClosHighPartial",2020-06-15,2020-09-01
"Netherlands","ClosPrim",2020-03-16,2020-05-10
"Netherlands","ClosPrimPartial",2020-05-11,2020-06-08
"Netherlands","ClosPubAnyPartial",2020-03-12,NA
"Netherlands","ClosSec",2020-03-16,2020-06-01
"Netherlands","ClosSecPartial",2020-06-02,2020-06-30
"Netherlands","MasksMandatory",2020-06-01,NA
"Netherlands","MassGather50Partial",2020-10-14,2020-11-03
"Netherlands","MassGatherAll",2020-03-12,2020-06-30
"Netherlands","MassGatherAll",2020-09-29,2020-10-13
"Netherlands","MassGatherAll",2020-11-04,NA
"Netherlands","MassGatherAllPartial",2020-07-01,2020-09-28
"Netherlands","MassGatherAllPartial",2020-10-14,2020-11-03
"Netherlands","StayHomeGen",2020-03-16,2020-05-10
"Netherlands","StayHomeGen",2020-11-04,2020-11-18
"Netherlands","StayHomeGenPartial",2020-05-11,2020-06-01
"Netherlands","StayHomeRiskG",2020-03-13,2020-06-26
"Netherlands","TeleworkingClosures",2020-03-12,NA
"Norway","ClosDaycare",2020-03-12,2020-04-20
"Norway","ClosHigh",2020-03-12,2020-06-15
"Norway","ClosHighPartial",2020-11-09,NA
"Norway","ClosPrim",2020-03-12,2020-04-27
"Norway","ClosPubAnyPartial",2020-03-12,NA
"Norway","ClosSec",2020-03-12,2020-05-11
"Norway","MasksMandatoryPartial",2020-08-14,NA
"Norway","MassGatherAll",2020-03-12,2020-06-14
"Norway","MassGatherAll",2020-10-12,NA
"Norway","MassGatherAllPartial",2020-06-15,2020-10-11
"Norway","StayHomeGen",2020-11-09,NA
"Norway","StayHomeRiskG",2020-03-12,2020-06-01
"Norway","TeleworkingClosures",2020-03-10,NA
"Poland","ClosDaycare",2020-03-12,2020-05-06
"Poland","ClosHigh",2020-03-12,2020-05-24
"Poland","ClosHighPartial",2020-05-25,2020-08-31
"Poland","ClosPrim",2020-03-12,2020-05-24
"Poland","ClosPrim",2020-10-24,NA
"Poland","ClosPrimPartial",2020-05-25,2020-06-30
"Poland","ClosPrimPartial",2020-09-01,2020-10-23
"Poland","ClosPubAny",2020-03-14,2020-03-14
"Poland","ClosPubAny",2020-05-31,2020-06-04
"Poland","ClosPubAny",2020-10-17,NA
"Poland","ClosPubAnyPartial",2020-03-15,2020-05-30
"Poland","ClosPubAnyPartial",2020-06-05,2020-10-16
"Poland","ClosSec",2020-03-12,2020-05-24
"Poland","ClosSec",2020-10-24,NA
"Poland","ClosSecPartial",2020-05-25,2020-06-30
"Poland","ClosSecPartial",2020-09-01,2020-10-23
"Poland","MasksMandatory",2020-04-16,2020-05-29
"Poland","MasksMandatory",2020-10-10,NA
"Poland","MasksMandatoryPartial",2020-05-30,2020-10-09
"Poland","MassGatherAll",2020-03-10,2020-04-02
"Poland","MassGatherAll",2020-05-30,2020-06-17
"Poland","MassGatherAll",2020-11-07,NA
"Poland","MassGatherAllPartial",2020-06-18,2020-10-16
"Poland","StayHomeGen",2020-04-20,2020-05-04
"Poland","StayHomeOrder",2020-03-24,2020-04-19
"Poland","StayHomeRiskG",2020-03-08,NA
"Poland","TeleworkingClosures",2020-03-08,NA
"Portugal","ClosDaycare",2020-03-16,2020-05-17
"Portugal","ClosDaycarePartial",2020-05-18,2020-05-31
"Portugal","ClosHigh",2020-03-16,2020-05-17
"Portugal","ClosHighPartial",2020-05-18,2020-09-07
"Portugal","ClosPrim",2020-03-16,2020-09-14
"Portugal","ClosPubAny",2020-03-13,2020-03-17
"Portugal","ClosPubAnyPartial",2020-03-18,NA
"Portugal","ClosSec",2020-03-16,2020-05-17
"Portugal","ClosSecPartial",2020-05-18,2020-09-14
"Portugal","MasksMandatory",2020-05-04,NA
"Portugal","MassGatherAll",2020-03-15,NA
"Portugal","StayHomeGen",2020-03-19,2020-05-02
"Portugal","StayHomeOrderPartial",2020-11-09,2020-11-23
"Portugal","StayHomeRiskG",2020-03-18,NA
"Portugal","TeleworkingClosures",2020-03-16,2020-05-31
"Portugal","TeleworkingClosuresPartial",2020-06-01,NA
"Romania","ClosDaycare",2020-03-16,2020-06-14
"Romania","ClosDaycarePartial",2020-06-15,2020-09-14
"Romania","ClosHigh",2020-03-16,2020-06-14
"Romania","ClosHighPartial",2020-08-31,NA
"Romania","ClosPrim",2020-03-16,2020-06-14
"Romania","ClosPrim",2020-11-09,NA
"Romania","ClosPrimPartial",2020-06-15,2020-09-14
"Romania","ClosPubAny",2020-03-18,2020-05-13
"Romania","ClosPubAnyPartial",2020-05-14,NA
"Romania","ClosSec",2020-03-16,2020-06-01
"Romania","ClosSec",2020-11-09,NA
"Romania","ClosSecPartial",2020-06-02,2020-09-14
"Romania","MasksMandatory",2020-04-14,NA
"Romania","MassGatherAll",2020-03-18,2020-05-30
"Romania","MassGatherAllPartial",2020-05-31,NA
"Romania","StayHomeOrder",2020-03-22,2020-05-13
"Romania","StayHomeOrderPartial",2020-05-14,2020-05-31
"Romania","StayHomeOrderPartial",2020-11-14,NA
"Romania","StayHomeRiskG",2020-03-25,2020-05-14
"Romania","TeleworkingClosures",2020-03-16,2020-05-14
"Romania","TeleworkingClosuresPartial",2020-05-15,NA
"Slovakia","ClosDaycare",2020-03-16,2020-06-01
"Slovakia","ClosHigh",2020-03-12,2020-06-09
"Slovakia","ClosHighPartial",2020-06-10,NA
"Slovakia","ClosPrim",2020-03-12,2020-06-01
"Slovakia","ClosPubAny",2020-03-16,2020-05-20
"Slovakia","ClosPubAnyPartial",2020-10-01,NA
"Slovakia","ClosSec",2020-03-12,2020-06-01
"Slovakia","ClosSec",2020-10-12,2020-11-15
"Slovakia","ClosSecPartial",2020-11-16,NA
"Slovakia","MasksMandatory",2020-03-12,2020-04-20
"Slovakia","MasksMandatory",2020-07-01,NA
"Slovakia","MasksMandatoryPartial",2020-04-21,2020-06-30
"Slovakia","MassGather50Partial",2020-11-02,2020-11-14
"Slovakia","MassGatherAll",2020-03-09,2020-06-10
"Slovakia","MassGatherAll",2020-09-01,2020-09-30
"Slovakia","MassGatherAllPartial",2020-11-02,2020-11-14
"Slovakia","StayHomeOrderPartial",2020-11-02,2020-11-14
"Slovenia","ClosDaycare",2020-03-12,2020-05-17
"Slovenia","ClosHigh",2020-03-12,2020-05-17
"Slovenia","ClosHighPartial",2020-05-18,2020-05-29
"Slovenia","ClosPrim",2020-03-12,2020-05-17
"Slovenia","ClosPrimPartial",2020-05-18,2020-06-03
"Slovenia","ClosPubAny",2020-03-14,2020-04-28
"Slovenia","ClosPubAnyPartial",2020-04-29,NA
"Slovenia","ClosSec",2020-03-12,2020-05-17
"Slovenia","ClosSecPartial",2020-05-18,2020-06-24
